08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,,,,,BUX,,,,Audrey Grant,Philippine cane x dichroa,cane,,Nuss,CA,(4) ad97,ｵｰﾄﾞﾘｰ･ｸﾞﾗﾝﾄ,ad97,,,,,
,,○,,,,,BUX,,,,Aunt Alice,,cane,,Brad Thompson,CA,1990 ad97,ｱﾝﾄ･ｱﾘｽ,ad97,,,,,
,,○,,,,,JBS3,,,,Aurora,Lenore Olivier x Laura Engelbert,cane,,Kawanami J.,Japan,1980 ad97,ｵｰﾛﾗ,ad97,,,,,○
,,○,,,,,BUX Beg'80,,,,Australian Star,,z,,Yorke,Aust.,ad97,ｵｰｽﾄﾗﾘｱﾝ･ｽﾀｰ,ad97,,,,,
,,○,,,,,JBS1,,,,Ayakaede,,rex,,Asahi B.G.,Japan,? ad97,ｱﾔｶｴﾃﾞ 　        (綾楓）,ad97,,,,,○
,,○,,,,,BUX,,,,Baby Ruth,Alice N. x Orange Rubra,cane,pink,Brad Thompson,CA,1992 ad97,ﾍﾞﾋﾞｰ･ﾙｰｽ,ad97,,,,,
,,○,,,,,BUX,,,,Baby Talk,Alice N. x Orange Rubra,cane,rose,Brad Thompson,CA,1992 ad97,ﾍﾞﾋﾞｰ･ﾄｰｸ,ad97,,,,,
,,○,,,,,BUX,,,,Babylon,Shalimar x U062,cane,red/pink,Brad Thompson,CA,1990 ad97,ﾊﾞﾋﾞﾛﾝ,ad97,,,,,○
,,○,,,,,BUX,,,,Bagdad,,z,,Caviness,OK,ad97,ﾊﾞｸﾞﾀﾞｯﾄﾞ,ad97,,,,,
,,○,,,,,BUX GC,,,,Bayerne,syn. Bavaria,shrub,pink,,,1987 ad97,ﾊﾞｲｴﾙﾝ,ad97,,,,,○
,,○,,,,,BUX,,,,Barbara Jean,Silver Mist x Pinafore Sport,cane,red,Stewart,TX,1990 ad97,ﾊﾞｰﾊﾞﾗ･ｼﾞｰﾝ,ad97,,,,,
,,○,,,,,ABS R#946,,,,Bayberry Lane,U067 (bakeri) x crassicaulis,rhiz,pink,Joy Porter,,1987(pg164)ad97,ﾍﾞｲﾍﾞﾘｰ･ﾚｰﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Beautiful Bertha,Orange Rubra x maculata,cane,rose,Brad Thompson,CA,1992 ad97,ﾋﾞｭｰﾃｨﾌﾙ･ﾊﾞｰｻ,ad97,,,,,
,,○,,,,,BUX ACL,,,,Bedford Black,Bokit x unk.,rhiz,pink,Yorke,Aust.,1980 ad97,ﾍﾞｯﾄﾞﾌｫｰﾄﾞ･ﾌﾞﾗｯｸ,ad97,,,,,
,,○,,,,,BUX AUST,,,,Bedford Delight,Bokt x bowerae var. nigramarga,rhiz,,Bernard York,Aust.,1881June94ad97,ﾍﾞｯﾄﾞﾌｫｰﾄﾞ･ﾃﾞﾗｲﾄ,ad97,,,,,
,,○,,,,,BUX,,,,Belah,Camel Wheel x unk.,z,,Meyer,Aust.,ad97,ﾍﾞﾗ,ad97,,,,,
,,○,,,,,BUX,,,,Belgium Waffles,,cane,rose,Brad Thompson,CA,1992 ad97,ﾍﾞﾙｼﾞｬﾝ･ﾜｯﾌﾙｽﾞ,ad97,,,,,
,,○,,,,,JBS3,,,,Benikanzashi,Filigree x Party Frock,rex,,Misono I.,Japan,1979 ad97,ﾍﾞﾆｶﾝｻﾞｼ　      （紅簪）,ad97,,,,,○
,,○,,,,,JBS3,,,,Benikomachi,maculata var. wightii x Lenore Olivier,cane,,Kawanami J.,Japan,1981 ad97,ﾍﾞﾆｺﾏﾁ         　（紅小町）,ad97,,,,,○
,,○,,,,,JBS3,,,,BenikomachiⅡ,maculata var. wightii x Lenore Olivier,cane,,Kawanami J.,Japan,1981 ad97,ﾍﾞﾆｺﾏﾁ 2　       （紅小町２）,ad97,,,,,○
,,○,,,,,JBS3,,,,Benisuzume,Filigree x Ember,rex,,Misono I.,Japan,1978 ad07,ﾍﾞﾆｽｽﾞﾒ        　（紅雀）,ad97,,,,,○
,,○,,,,,BUX CB,,,,Berenice,,rex,,Wm Bull  cat.,London,1883 ad97,ﾍﾞﾚﾆｽ,ad97,,,,,
,,○,,,,,BUX,,,,Bertha Haldeman,Silver Mist x Laura Engelbert,cane,red,Brad Thompson,CA,1991 ad97,ﾊﾞｰｻ･ﾊﾙﾃﾞﾏﾝ,ad97,,,,,
,,○,,,,,BUX ACL,,,,Beryl Clarke,Crestaburchii x Scene Stealer,rhiz,pink,Clare,Aust.,1992ACL#17ad97,ﾍﾞﾘﾙ･ｸﾗｰｸ,ad97,,,,,
,,○,,,,,BUX AUST,○,分類,,Beryl Elizabeth,,rhiz,,Burley,Aust.,1992Feb ad97,ﾍﾞﾘﾙ･ｴﾘｻﾞﾍﾞｽ,ad97,,,,伊東,
,,○,,,,,AA yamaguchi,,,,Betelgeuse,Miss Pretty x deliciosa,rex,,Yamaguchi H.,Japan,1995 ad97,ﾍﾞﾃﾙｷﾞｳｽ,ad97,,,,,○
,,○,,,,,ABS R#948,,,,Bettikins,R.Z.'s139 x Grand Dutchess/51,rex,pink,Ehrlich,,1966pa1ad97,ﾍﾞﾃｨｷﾝｽ,ad97,,,,,
,,,,,,,BUX AUST,,,,Beulah Powell,Benary x Gold Plate,tuber hyb.,yellow,Phil Wright,Aust.,1989(june94)ad97,ﾋﾞｭｰﾗ・ﾊﾟｳｴﾙ,ad97,,,,,
,,○,,,,,BUX,,,,Big Bad Brad,Jumbo Jet x Dumbo,cane,pink/red,Brad Thompson,CA,1992 ad97,ﾋﾞｯｸﾞ･ﾊﾞｯﾄ ﾞ･ﾌﾞﾗｯﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Big Boy,,z,,Caviness,OK,ad97,ﾋﾞｯｸﾞ･ﾎﾞｰｲ,ad97,,,,,
,,,,,,,BUX,,,,Bingo Salmon,,semp,salmon,Ball Seed,Chicago IL,Jul 90 ad97,ﾋﾞﾝｺ ﾞ･ｻｰﾓﾝ,ad97,,,,,
,,○,,,,,ABS R#970,,,,Black Gold,Jumbo Jet x dregei Glasgow,cane,pink,Brad Thompson,CA,1990 ad97,ﾌﾞﾗｯｸ･ｺﾞｰﾙﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Black Jack,Kenlo x unk.,cane,,Asmussen,TX,ad97,ﾌﾞﾗｯｸ･ｼﾞｬｯｸ,ad97,,,,,○
,,○,,,,,BUX,,,,Black Joker,,rhiz,,Caviness,OK,ad97,ﾌﾞﾗｯｸ･ｼﾞｮｰｶｰ,ad97,,,,,
,,○,,,,,BUX,,,,Black Lightning,,z,,Caviness,OK,ad97,ﾌﾞﾗｯｸ･ﾗｲﾄﾆﾝｸﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Black Onyx,Kenlo x unk.,cane,,Asmussen,TX,1986 ad97,ﾌﾞﾗｯｸ･ｵﾆｷｽ,ad97,,,,,
,,○,,,,,BUX,,,,Black Points,,z,,Caviness,OK,ad97,ﾌﾞﾗｯｸ･ﾎﾟｲﾝﾂ,ad97,,,,,
,,○,,,,,BUX,,,,Black Sash,,z,,Caviness,OK,ad97,ﾌﾞﾗｯｸ･ｻｼｭ,ad97,,,,,
,,○,,,,,BUX,,,,Black Satin,Jumbo Jet x Orange Rubra,cane,pink,Brad Thompson,CA,1990 ad97,ﾌﾞﾗｯｸ･ｻﾃﾝ,ad97,,,,,
,,○,,,,,BUX Beg'94,,,,Black Swirl,Erythrophylla Helix x Helen Townsend,rhiz,pink,Stewart,TX,1990pg76 ad97,ﾌﾞﾗｯｸ･ｽﾜｰﾙ,ad97,,,,,
,,○,,,,,BUX ACL,,,,Black Venus,Sisquoc x Joe Hayden,rhiz,pink,Clare,Aust.,ACL#20 ad97,ﾌﾞﾗｯｸ･ﾋﾞｰﾅｽ,ad97,,,,,
,,○,,,,,BUX,,,,Blitzen,Elaine x partita,cane,,Asmussen,TX,1985 ad97,ﾌﾞﾘﾂｪﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Bloody Mary,Jumbo Jet x Dumbo,cane,red,Brad Thompson,CA,1992 ad97,ﾌﾞﾗｯﾃﾞｨ･ﾏﾘｰ,ad97,,,,,
