08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,,,,,DOOR,,,,santarosensis       (sp),America    Bolivia (Cochabamba),z,,O. Kuntze,Hydristyles,1898,ｻﾝﾀﾛｾﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,santos-limae        (sp),America    Brazil (Rio de Janeiro),z,,Brade,Knesebeckia,1943,ｻﾝﾄｽ･ﾘﾒ,,,,,,
,,○,,,,,DOOR,,,,sarasinorum         (sp),Asia         Indonesia (Sulawesi),z,,Irmscher,Petermannia,1913,ｻﾗｼﾉﾙﾑ,,,,,,
,,○,,,,,DOOR,,,,sarawakensis        (sp),Asia         Borneo (Sarawak),z,,Ridley,Petermannia,1906,ｻﾗﾜｹﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,sarcocarpa          (sp),Asia         Indonesia (Sumatra),z,,Ridley,Sphenanthera,1917,ｻﾙｺｶﾙﾊﾟ,,,,,,
,,○,,,,,DOOR,,,,sarcophylla           (sp),"America    Mexico, Guatemala　",thick/stem,,Liebm.,Gireoudia,1853,ｻﾙｺﾌｨﾗ,,,,,,
,,○,,,,,DOOR,,,,sarmentacea      (sp)    → sementacea,,rhiz,,Hort. ex Brilmayer,,1960,ｻﾙﾒﾝﾀｹｱ,,,,,,
,,○,,,,,DOOR,,,,sarmentosa          (sp),Asia         Philippines,z,,L. B.Smith&Wasshausen,Petermannia,1983,ｻﾙﾒﾝﾄｰｻ,,,,,,
,,○,,,,,DOOR,○,読み,,satrapis             (sp),Asia         India (Sikkim),z,,C. B. Clarke,DiplocliniumⅡ,1879,ｻﾄﾗﾋﾟｽ,,,,,,
,,○,,,,,DOOR,,,,saxicola             (sp),America    Brazil (Bahia),z,,A. DC.,Donaldia,1859,ｻｸｼｺﾗ,,,,,,
,,○,,,,,DOOR,,,,saxifraga            (sp),America    Brazil (Bahia),shrub,,A. DC.,Pritzelia,1859,ｻｸｼﾌﾗｶﾞ,,,,,,
,,○,,,,,DOOR,,,,saxifragifolia        (sp),Asia         Thailand,z,,Craib,DiplocliniumⅢ,1930,ｻｸｼﾌﾗｷﾞﾌｫﾘｱ,,,,,,
,,○,,,,,DOOR,,,,scabrida             (sp),"America    Venezuela (Fed. Distr., Sucre)",thick/stem,,A. DC.,Pritzelia,1864,ｽｶﾌﾞﾘﾀﾞ,,,,,,○
,,○,,,,,DOOR,,,,scabridoidea        (sp),America    Venezuela,trail/scand,,L. B.Smith&Wasshausen,?,1983,ｽｶﾌﾞﾘﾄﾞｲﾃﾞ,,,,,,
,,○,,,,,DOOR,,,,scapigera           (sp),"Africa       Nigeria, Cameroon, Gabon, Congo",rhiz,yellow,Hook. f.,Loasibegonia,1871,ｽｶﾋﾟｹﾞﾗ,,,,,,
,,○,,,,,DOOR,,,,schaeferi           (sp),"Africa       Nigeria, Cameroon",rhiz,,Engl.,Loasibegonia,1921,ｼｪﾌｪﾘ,,,,,,
,,○,,,,,DOOR,,,,scharffiana         (sp),"America    Brazil (Sta Catarina, cult. ?)",shrub,,Regel,Pritzelia,1888,ｼｬﾙﾌｨｱｰﾅ,,,,,,○'92
,,○,,,,,DOOR,,,,scharffii           (sp)     syn. haageana,"America    Brazil (Sta Catarina, cult. ?)",shrub,,Hook. f.,Pritzelia,1888,ｼｬﾙﾌｨｲ,,,,,,○
,,○,,,,,DOOR,,,,schenckii           (sp),America    Brazil (Sta Catarina),z,,Irmscher,Begonia,1953,ｼｪﾝｷｲ,,,,,,
,,○,,,,,DOOR,,,,schlechteri        (sp)     → laporteifolia,Africa       Cameroon,z,,Gilg.,,1904,ｼｭﾚｸﾃﾘ,,,,,,
,,○,,,,,DOOR,○,→　,,schliebenii          (sp)  →　manicata,Africa       Tanzania,z,,Irmscher,Rostrobegonia,1961,ｼｭﾘｴﾍﾞﾆｲ,,,,,,
,,○,,,,,DOOR,,,,schlumbergeriana    (sp),America    ? probably a hybrid,shrub,,Lem,Pritzelia,1858,ｼｭﾙﾝﾍﾞﾙｹﾞﾘｱｰﾅ,,,,,,
森口,H,○,○,○,E-1,,DOOR,○,分類,,schmidtiana        (sp),America    Brazil,ｚ,,Regel,Begonia,1879,ｼｭﾐﾃｨｱｰﾅ,,,,,,○'89
,,○,,,,,DOOR,,,,schulziana          (sp),America    Haiti,rhiz,,Urban & Ekman,Begonia,1930,ｼｭﾙｼﾞｱｰﾅ,,,,,,○'70
,,○,,,,,DOOR,,,,sciadiophora       (sp),America    Guatemala,z,,L. B.Smith&Schubert,Begonia ?,1946,ｽｷｱﾃﾞｨｵﾌｫﾗ,,,,,,
,,○,,,,,DOOR,,,,sciaphila            (sp),"Africa       Cameroon, Gabon, Angola (Cabinda)",z,,Gilg & Engl.,Filicibegonia,1921,ｽｷｱﾌｨﾗ,,,,,,
,,○,,,,,DOOR,,,,scintillans           (sp),Asia         India (Arunachal Pradesh),z,,Dunn,DiplocliniumⅠ?,1920,ｽｷﾝﾃｨﾗﾝｽ,,,,,,
,,○,,,,,DOOR,,,,scitifolia             (sp),Asia         China (Yunnan),z,,Irmscher,Platycentrum,1939,ｽｷﾃｨﾌｫﾘｱ,,,,,,
,,○,,,,,DOOR,,,,scortechinii         (sp),Asia         Peninsular Malaysia,rhiz,,King,Platycentrum,1902,ｽｺﾙﾃｷﾆｲ,,,,,,
,,○,,,,,DOOR,,,,scutifolia        (sp)　　　  　syn. triflora,"Africa       Cameroon, Equatorial Guinea,Gabon, Angola, D.R.Congo",rhiz,yellow,Hook. f.,Loasibegonia,1971,ｽｸﾃｨﾌｫﾘｱ,,,,,,○
,,○,,,,,DOOR,,,,secunda             (sp),America    Ecuador (Pichincha),z,,L. B.Smith&Wasshausen,Gobenia,1979,ｾｸﾝﾀﾞ,,,,,,
,,○,,,,,DOOR,,,,seemanniana      (sp)    syn. chiriquina,"America    Costa Rica, Panama",trail/scand,,A. DC.,Ruizopavonia,1859,ｾｴﾏﾝﾆｱｰﾅ,,,,,,○'93
,,○,,,,,DOOR,,,,segregata            (sp),"America    Colombia (Narino), Ecuador (Carchi)",rhiz,,L. B.Smith&Schubert,Gobenia,1960,ｾｸﾞﾚｶﾞﾀ,,,,,,
,,○,○,,Ｄ－２,,DOOR,,,,sementacea         (sp),America    Brazil,shrub,,Hort.,Pritzelia,1970,ｾﾒﾝﾀｹｱ,,,,,,○
,,○,,,,,DOOR,,,,semidigitata          (sp),America    Brazil (Rio de Janeiro),z,,Brade,Scheidweileria,1945,ｾﾐﾃﾞｨｷﾞﾀｰﾀ,,,,,,
,,○,,,,,DOOR,,,,semiovata            (sp),America    Mexico and Guyana to Peru,z,,Liebm.,Doratometra,1853,ｾﾐｵｳｧｰﾀ,,,,,,
,,○,,,,,DOOR,,,,sericoneura          (sp),"America    Mexico (Chiapas, Oaxaca)",thick/stem,,Liebm.,Gireoudia,1852,ｾﾘｺﾈｳﾗ,,,,,,○'83
,,○,,,,,DOOR,,,,serotina             (sp),America    Ecuador (4 prov.)　,shrub,,A. DC.,Knesebeckia,1859,ｾﾛﾃｨﾅ,,,,,,○
,,○,,,,,DOOR,,,,serpens             (sp),Asia         Philippines,z,,Merr.,DiplocliniumⅠ,1919,ｾﾙﾍﾟﾝｽ,,,,,,
,,○,,,,,DOOR,,,,serraticauda        (sp),Asia         New Guinea,z,,Merr.&L.M.Perry,Petermannia,1943,ｾﾗﾃｨｶｳﾀﾞ,,,,,,
,,○,,,,,DOOR,,,,serratipetala        (sp),Asia         New Guinea,shrub,,Irmscher,Petermannia,1913,ｾﾗﾃｨﾍﾟﾀﾗ,,,,,,○
,,○,,,,,DOOR,,,,sessilanthera       (sp)       → preusii,Africa       Cameroon,z,,Warb.,,1895,ｾｼﾗﾝﾃﾗ,,,,,,
,,○,,,,,DOOR,,,,sessilifolia           (sp),"Africa       Cameroon to Congo, incl. Equatorial Guinea (Bioko)",z,,Hook. f.,Filicibegonia,1871,ｾｼﾘﾌｫﾘｱ,,,,,,
,,○,,,,,DOOR,,,,setifolia             (sp),Asia         China (Yunnan),z,,Irmscher,Platycentrum ?,1939,ｾﾃｨﾌｫﾘｱ,,,,,,
,,○,,,,,DOOR,,,,setulosa             (sp),America    Guatemala　,shrub,,Bertol.,Gireoudia ?,1840,ｾﾂﾛｰｻ,,,,,,
,,○,,,,,DOOR,○,,,setulosa-peltata     (sp),Asia         China (Guangxi),z,,C. Y. Wu,Coelocentrum,,ｾﾂﾛｰｻ･ﾍﾟﾙﾀﾀ,,,,,,
,,○,,,,,DOOR,○,→　無し,,seychellensis      (sp),Africa       Seychelles,z,,Hemsl.,Mezierea,1916,ｾｲｼｪﾚﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,sharpeana           (sp),Asia         New Guinea,rhiz,,F. Muell.　,DiplocliniumⅠ,1887,ｼｬﾙﾍﾟｱｰﾅ,,,,,,○
,,○,,,,,DOOR,,,,siamensis            (sp),"Asia         Thailand, Laos",z,,Gagnep.,Platycentrum,1919,ｼｱﾒﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,sibthorpioides      (sp),Asia         Peninsular Malaysia,z,,Ridley,Heeringia,1916,ｼﾌﾞﾄﾙﾋﾟｵｲﾃﾞｽ,,,,,,
,,○,,,,,DOOR,,,,sikkimensis          (sp),Asia         India (Sikkim),tuberous,,A. DC.,Platycentrum,1859,ｼｯｷﾒﾝｼｽ,,,,,,○'71
,,○,,,,,DOOR,,,,silletensis            (sp),"Asia         India, China (Yunnan)",tuberous,,(A.DC.) C.B. Clarke,Sphenanthera,1879,ｼﾚﾃﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,simulans              (sp),Asia         New Guinea,z,,Merr.&L.M.Perry,Petermannia,1943,ｼﾑﾗﾝｽ,,,,,,
,,○,,,,,DOOR,,,,sino-vietnamica     (sp),Asia         China (Guangxi),z,,C. Y. Wu,DiplocliniumⅠ,,ｼﾉ･ｳｨｴﾄﾅﾐｶ,,,,,,
,,○,,,,,DOOR,,,,sinuata                 (sp),"Asia         India, Burma, Thailand, PeninsularMalaysia",tuberous,,Wall. ex Meissner,Parvibegonia,1831,ｼﾇｱｰﾀ,,,,,,
,,○,,,,,DOOR,,,,sleumeri                (sp),America    Argentina (Jujuy),tuberous,,L. B.Smith&Schubert,Eupetalum,1955,ｽﾚｳﾒﾘ,,,,,,
,,○,,,,,DOOR,,,,smilacina               (sp),America    Brazil (Amada),trail/scand,,A. DC.,Wageneria,1859,ｽﾐﾗｷﾅ,,,,,,
,,○,,,,,DOOR,,,,smithiae                (sp),Asia         Thailand,z,,Geddes,Platycentrum,1928,ｽﾐｼｴ,,,,,,
,,○,,,,,DOOR,,,,sphenocarpa          (sp),Asia         Indonesia (Sulawesi),z,,Irmscher,Petermannia,1913,ｽﾌｪﾉｶﾙﾊﾟ,,,,,,
,,○,,,,,DOOR,,,,spilotophylla           (sp),Asia         New Guinea,z,,F. Muell,Petermannia,1876,ｽﾋﾟﾛﾄﾌｨﾗ,,,,,,
,,○,,,,,DOOR,,,,spinibarbis              (sp),America    Brazil (Sao Paulo),shrub,,Irmscher,Pritzelia,1957,ｽﾋﾟﾆﾊﾞﾙﾋﾞｽ,,,,,,
,,○,,,,,DOOR,,,,squamipes            (sp),America    Brazil (Sta Catarina),rhiz,,Irmscher,Begonia,1971,ｽｸｱﾐﾍﾟｽ,,,,,,
,,○,○,,Ｃ－１,,DOOR,,,,squamulosa            (sp),"Africa       Equatorial Guinea,Gabon, Dem.Rep.Congo",rhiz,,Hook. f.,Tetraphila,1871,ｽｸｱﾑﾛｰｻ,,,,,,○'82
斉藤寿,L-1,○,,○,,,DOOR,,,,squarrosa              (sp),America    Mexico (Oaxaca),rhiz,,Liebm.,Gireoudia,1853,ｽｸｱﾛｻ,,,,,,○
,,○,,,,,DOOR,,,,staudtii                (sp),"Africa       Nigeria, Cameroon",rhiz,yellow,Gilg,Loasibegonia,1904,ｽﾀｳﾃｨｲ,,,,,,○
,,○,,,,,DOOR,,,,stellata                 (sp),Africa       Cameroon,z,,Sosef,Loasibegonia,1991,ｽﾃﾗｰﾀ,,,,,,
,,○,,,,,DOOR,,,,stelzneri               (sp),Asia         Sri Lanka,z,,(Klotzsch) Warb.,Reichenheimia ?,1894,ｽﾃﾙｽﾞﾈﾘ,,,,,,
,,○,,,,,DOOR,,,,stenocardia           (sp),America    Colombia (Choco),z,,L. B.Smith&Schubert,Knesebeckia,1946,ｽﾃﾉｶﾙﾃﾞｨｱ,,,,,,
,,○,,,,,DOOR,,,,stenolepis             (sp),America    Brazil (Sta Catarina),z,,L. B.Smith&R.C.Smith,Pritzelia,1971,ｽﾃﾉﾚﾋﾟｽ,,,,,,
,,○,,,,,DOOR,,,,stenophylla            (sp),America    Brazil (Sao Paulo),shrub,,A. DC.,Pritzelia,1859,ｽﾃﾉﾌｨﾗ,,,,,,
,,○,,,,,DOOR,,,,stenotepala            (sp),America    Peru,z,,L. B.Smith&Schubert,Begonia,1941,ｽﾃﾉﾃﾊﾟﾗ,,,,,,
,,○,,,,,DOOR,,,,steyermarkii           (sp),America    Venezuela (Bolivar),z,,L. B.Smith&Schubert,Doratometra?,1955,ｽﾃｲｴﾙﾏﾙｷｲ,,,,,,
,,○,,,,,DOOR,,,,stictopoda              (sp),Asia         Indonesia (Sumatra),z,,(Miq.) A. DC.,ReichenheimiaⅠ,1864,ｽﾃｨｸﾄﾎﾟﾀﾞ,,,,,,
,,○,,,,,DOOR,,,,stigmosa             (sp)      syn. mexiae,America    Mexico,z,,Lindl.,Gireoudia,1845,ｽﾃｨｸﾞﾓｻ,,,,,,○
,,○,,,,,DOOR,,,,stilandra                (sp),Asia         New Guinea,z,,Merr.&L.M.Perry,Petermannia,1943,ｽﾃｨﾗﾝﾄﾞﾗ,,,,,,
,,○,,,,,DOOR,,,,stipulacea            (sp)     syn. disticha,America    cult.　　,cane,,Willd.,Begonia,1805,ｽﾃｨﾌﾟﾗｹｱ,,,,,,○
,,○,,,,,DOOR,,,,stipularis               (sp),America    Brazil,z,,Spreng.,? no flowers,1800,ｽﾃｨﾌﾟﾗﾘｽ,,,,,,
,,○,,,,,DOOR,,,,stolzii                   (sp),Africa       Tanzania,z,,Irmscher,Augustia,1961,ｽﾄﾙｽﾞｨｲ,,,,,,
,,○,,,,,DOOR,,,,strachwitzii            (sp),Asia         Indonesia (Sulawesi),z,,Warb. ex Irmscher,Petermannia,1913,ｽﾄﾗｸｳｨﾂｨｲ,,,,,,
,,○,,,,,DOOR,,,,strictinervis           (sp),Asia         New Guinea,z,,Irmscher,Petermannia,1913,ｽﾄﾘｸﾃｨﾈﾙｳｨｽ,,,,,,
,,○,,,,,DOOR,,,,strictipetiolaris        (sp),Asia         Indonesia (Sulawesi),z,,Irmscher,Petermannia,1913,ｽﾄﾘｸﾃｨﾍﾟﾃｨｵﾗﾘｽ,,,,,,
,,○,,,,,DOOR,,,,"strigillosa    (sp)  syn. barbana,daedalea","America    Mexico (Chiapas), Guatemala,El Salvador, CostaRica　",rhiz,,A. Dietr.,Gireoudia,1851,ｽﾄﾘｷﾞﾛｰｻ,,,,,,○
,,○,,,,,DOOR,,,,strigulosa              (sp),Asia         ? Cult. Hort. Bogor,z,,A. DC.,Reichenheimia ?,1864,ｽﾄﾘｸﾞﾛｻ,,,,,,
,,○,,,,,DOOR,,,,subacida               (sp),America    Brazil (Bahia),z,,Irmscher,Pritzelia,1959,ｽﾊﾞｷﾀﾞ,,,,,,
,,○,,,,,DOOR,○,→　無し,,subalpestris          (sp),Africa       Sao Tome,trail/scand,,A. Chev.,Tetraphila,1911,ｽﾊﾞﾙﾍﾟｽﾄﾘｽ,,,,,,○
,,○,,,,,DOOR,,,,subcaudata           (sp),America    Bolivia (La Paz),z,,Rusby ex L.B.Smith&Schbert,Hydristyles,1944,ｽﾌﾞｶｳﾀﾞﾀ,,,,,,
,,○,,,,,DOOR,,,,subciliata              (sp),"America    Peru (Ayacucho, Junin)",z,,A. DC.,Cyathocnemis,1859,ｽﾌﾞｷﾘｱｰﾀ,,,,,,
,,○,,,,,DOOR,,,,subcostata            (sp),America    Colombia (Magdalena),z,,Rusby,Doratometra?,1820,ｽﾌﾞｺｽﾀｰﾀ,,,,,,
,,○,,,,,DOOR,,,,subcyclophylla        (sp),Asia         New Guinea,z,,Irmscher,DiplocliniumⅠ,1913,ｽﾌﾞｷｸﾛﾌｨﾗ,,,,,,
,,○,,,,,DOOR,,,,subelliptica            (sp),Asia         New Guinea,z,,Merr.&L.M.Perry,Petermannia,1943,ｽﾍﾞﾘﾌﾟﾃｨｶ,,,,,,
,,○,,,,,DOOR,,,,sublobata               (sp),Asia         Indonesia (Sumatra),z,,Jack,DiplocliniumⅠ,1822,ｽﾌﾞﾛﾊﾞｰﾀ,,,,,,
神保,H,○,○,○,Ｄ－１,田中,DOOR,,,,subnummularifolia    (sp),Asia         Borneo,rhiz,,Merr.,DiplocliniumⅠ,1926,ｽﾌﾞﾇﾑﾗﾘﾌｫﾘｱ,,,,,,○'80
,,○,,,,,DOOR,,,,suborbiculata         (sp),Asia         Philippines (Palawan),z,,Merr.,DiplocliniumⅠ,1911,ｽﾎﾞﾙﾋﾞｸﾗｰﾀ,,,,,,
,,○,,,,,DOOR,,,,subpeltata             (sp),Asia         India,tuberous,,Wight,ReichenheimiaⅢ,1812,ｽﾌﾞﾍﾟﾙﾀｰﾀ,,,,,,
,,○,,,,,DOOR,,,,subperfoliata          (sp),Asia         Burma,z,,Parish ex Kurz,DiplocliniumⅢ,1873,ｽﾌﾞﾍﾟﾙﾌｫﾘｱｰﾀ,,,,,,
,,○,,,,,DOOR,,,,subprostrata          (sp),Asia         Philippines,z,,Merr.,Petermannia,1925,ｽﾌﾞﾌﾟﾛｽﾄﾗｰﾀ,,,,,,
,,○,,,,,DOOR,,,,subscutata      (sp)    syn. latipetiolata,Africa       Cameroon to Congo and Dem.Rep. Congo,trail/scand,,De Wild.,Tetraphila,1908,ｽﾌﾞｽｸﾀｰﾀ,,,,,,
,,○,,,,,DOOR,,,,subspinulosa          (sp),America    Peru (Cuzco),z,,Irmscher,Cyathocnemis,1949,ｽﾌﾞｽﾋﾟﾇﾛｰｻ,,,,,,
,,○,,,,,DOOR,,,,subtilis                  (sp),→ pseudoviola Gilg,z,,Irmscher,,1961,ｽﾌﾞﾃｨﾘｽ,,,,,,
,,○,,,,,DOOR,,,,subtruncata            (sp),Asia         Philippines (Luzon),z,,Merr.,Petermannia,1911,ｽﾌﾞﾄﾙﾝｶｰﾀ,,,,,,
,,○,,,,,DOOR,○,分類,,subvillosa         (sp)   syn. serafinensis,"America    Brazil, Paraguay",ｚ,,Klotzsch,Begonia,1854,ｽﾌﾞｳｨﾛｰｻ,,,,,,○
,,○,,,,,DOOR,,,,subviridis              (sp),Asia         Thailand,z,,Craib,Diploclinium ?,1930,ｽﾌﾞｳｨﾘﾃﾞｨｽ,,,,,,
,,○,,,,,DOOR,,,,sudjanae               (sp),Asia         Indonesia (Sumatra),rhiz,,Jansson,ReichenheimiaⅠ,1957,ｽｼﾞｬﾈ,,,,,,○
,,○,,,,,DOOR,,,,suffrutescens        (sp),Asia         New Guinea,z,,Merr.&L.M.Perry,Petermannia,1943,ｽﾌﾙﾃｽｹﾝｽ,,,,,,
,,○,,,,,DOOR,,,,summoglabra          (sp),Asia         China (Yunnan),z,,Yu,DiplocliniumⅢ,1948,ｽﾓｸﾞﾗﾌﾞﾗ,,,,,,
,,○,,,,,DOOR,,,,sunorchis               (sp),America    hybid ?　,thick/stem,,C. Chev.,?,1938,ｽﾉﾙｷｽ,,,,,,
,,○,,,,,DOOR,,,,suprafastigiata        (sp),America    Peru (Cuzco),z,,Irmscher,Cyathocnemis,1949,ｽﾌﾟﾗﾌｧｽﾃｨｷﾞｱｰﾀ,,,,,,
,,○,,,,,DOOR,,,,surculigera             (sp),Asia         India (Akyab),z,,Kurz,DiplocliniumⅡ,1871,ｽﾙｸﾘｹﾞﾗ,,,,,,
,,○,○,,Ｄ－１,,DOOR,,,,susaniae                (sp),"Africa       Cameroon, Gabon",z,,Sosef,Scutobegonia,1991,ｽｻﾞﾆｴ,,,,,,
佐藤守,A-1,○,○,○,Ａ－２,佐藤守、佐藤由,DOOR,○,読み,,sutherlandii           (sp)     syn. buttoni,"Africa       Dem.R.Congo,Tanzania,Zambia,Mozambique, S.Africa",tuberous,,Hook. f.,Augustia,1868,ｻｻﾞｰﾗﾝﾃﾞｨｲ,,,,,,○
,,○,,,,,DOOR,,,,sychnantha           (sp),Asia         Indonesia (Sumatra),z,,L. B.Smith&Wasshausen,ReichenheimiaⅠ,1984,ｼｸﾅﾝﾀ,,,,,,
,,○,,,,,DOOR,,,,sylvatica               (sp),"America    Brazil (Bahia, Espirito Santo)",shrub,,Meisner ex A. DC.,Pritzelia,1859,ｼﾙｳｧﾃｨｶ,,,,,,
,,○,,,,,DOOR,,,,sympodialis            (sp),Asia         Borneo (Sarawak),z,,Irmscher,Petermannia,1953,ｼﾝﾎﾟﾃﾞｨｱﾘｽ,,,,,,
,,○,,,,,DOOR,,,,tacanana               (sp),America    Mexico (Chiapas),z,,Ziesenh.,Gireoudia,1971,ﾀｶﾅﾅ,,,,,,
,,○,,,,,DOOR,,,,tafaensis               (sp),Asia         New Guinea,z,,Merr.&L.M.Perry,Petermannia,1943,ﾀﾌｪﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,tafiensis                (sp),America    Argentina (Tucuman),tuberous,,Lillo,Eupetalum,1919,ﾀﾌｨｴﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,taiwaniana            (sp),Asia         Taiwan,shrub,,Hayata,DiplocliniumⅡ?,1911,ﾀｲﾜﾆｱｰﾅ,,,,,,○
,,○,,,,,DOOR,,,,taliensis               (sp),Asia         China (Yunnan),z,,Gagnep.,DiplocliniumⅡ,1919,ﾀﾘｴﾝｼｽ,,,,,,
,,○,,,,,DOOR,○,rhiz pink,,tampinica              (sp),Asia         Peninsular Malaysia,z,,Burkill ex Irmscher,Platycentrum,1929,ﾀﾝﾋﾟﾆｶ,,,,,,
,,○,,,,,DOOR,,,,tanala                   (sp),Africa       Madagascar,z,,Humbert ex Bosser&Keraudren-Aymonin,? new section,1972,ﾀﾅﾗ,,,,,,
,,○,,,,,DOOR,,,,tarokoensis            (sp),Asia         Taiwan,z,,M. J. Lai.,Platycentrum,1990,ﾀﾛｺｴﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,tascellezii              (sp),?                         ?,z,,Hort.,?,1863,ﾀｽｹﾚｼﾞｲ,,,,,,
,,○,,,,,DOOR,,,,tatoniana               (sp),Africa       Central Africa,z,,Wilczek,Tetraphila,1969,ﾀﾄﾆｱｰﾅ,,,,,,
,,○,,,,,DOOR,,,,tawaensis               (sp),Asia         Borneo (Sabah),z,,Merr.,Petermannia,1929,ﾀﾜｴﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,tayabensis              (sp),Asia         Philippines,rhiz,white,Merr.,DiplocliniumⅠ,1918,ﾀﾔﾍﾞﾝｼｽ,,,,,,○'88
,,○,,,,,DOOR,,,,tayloriana               (sp),Africa       Tanzania,z,,Irmscher,Augustia,1961,ﾀｲﾛﾘｱｰﾅ,,,,,,
,,○,,,,,DOOR,,,,tenera               (sp)      syn .thwaitesi,Asia         Sri Lanka,rhiz,,Dryand.,ReichenheimiaⅢ,1791,ﾃﾈﾗ,,,,,,○
,,○,,,,,DOOR,,,,tenericaulis           (sp),Asia         Indonesia (Sumatra),z,,Ridley,Petermannia,1925,ﾃﾈﾘｶｳﾘｽ,,,,,,
,,○,,,,,DOOR,,,,tenuicaulis            (sp),"America    Bolivia (Larecaja, Caupolican)",tuberous,,A. DC.,Eupetalum,1859,ﾃﾇｲｶｳﾘｽ,,,,,,
,,○,,,,,DOOR,,,,"tenuifolia        (sp)   syn. lineata,varians",Asia         Indonesia (Java),rhiz,,Dryand.,Parvibegonia,1971,ﾃﾇｲﾌｫﾘｱ,,,,,,○'71
,,○,,,,,DOOR,,,,tessaricarpa          (sp),Asia         India (Assam ),z,,C. B. Clarke,Sphenanthera,1879,ﾃｯｻﾘｶﾙﾊﾟ,,,,,,
,,○,,,,,DOOR,,,,tetragona             (sp),Asia         China (Yunnan),z,,Irmscher,Sphenanthera,1939,ﾃﾄﾗｺﾞﾅ,,,,,,
,,○,,,,,DOOR,,,,tetrandra              (sp),America    Peru,z,,Irmscher,Semibegoniella,1949,ﾃﾄﾗﾝﾄﾞﾗ,,,,,,
,,○,,,,,DOOR,,,,teuscheri             (sp),Asia         Peninsular Malaysia,cane,,Linden & Andre,Pritzelia,1879,ﾃｳｽｹﾘ,,,,,,
,,○,,,,,DOOR,,,,teysmanniana      (sp),Asia         Indonesia (Sumatra),z,,(Miq.) Warb.,Platycentrum,1894,ﾃｲｽﾏﾝﾆｱｰﾅ,,,,,,
佐藤由,F-1,○,,○,,,DOOR,,,,thelmae              (sp)       syn. U009,America    Brazil (cult.),trail/scand,,L. B.Smith&Wasshausen,? new section,1981,ﾃﾙﾏｴ,,,,,,○'81
,,○,,,,,DOOR,,,,thiemei           (sp)   syn. macudougallii,"America    Mexico (Chiapas, Veracruz)",rhiz,,C. DC. ex J.D. Smith,Gireoudia,1895,ﾃｨｴﾒｲ,,,,,,○
,,○,,,,,DOOR,,,,thomeana            (sp),"Africa       Sao Tome, Gabon",trail/scand,,C. DC.,Cristasemen,1892,ﾄﾒｱｰﾅ,,,,,,
,,○,,,,,DOOR,,,,thomsonii            (sp),Asia         India (Khasia),rhiz,,A. DC.,Platycentrum,1859,ﾄﾑｿﾆｲ,,,,,,
,,○,,,,,DOOR,,,,thyrsoidea           (sp),America    Peru (Cuzco),z,,Irmscher,Quadriperigonia,1949,ﾃｨﾙｿｲﾃﾞ,,,,,,
,,○,,,,,DOOR,,,,tiliifolia               (sp),"America    Colombia (Cauca), Ecuador (Cotopaxi)",z,,C. DC.,Begonia ?,1908,ﾃｨﾘｲﾌｫﾘｱ,,,,,,
,,○,,,,,DOOR,,,,timorensis        (sp)    syn. decaisneana,Asia         Indonesia (Timor),z,,(Miq.) J.Golding & Karegeannes,Petermannia,1984,ﾃｨﾓﾚﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,tiomanensis         (sp),Asia         Peninsular Malaysia,z,,Ridley,Platycentrum,1928,ﾃｨｵﾏﾈﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,toledana              (sp),"America    Colombia, Venezuela　",z,,L. B.Smith&Schubert,Casparya,1946,ﾄﾚﾀﾞｰﾅ,,,,,,
北村,O-2,○,,○,,,DOOR,,,,tomentosa         (sp)       syn. vaginans,America    Brazil (Rio de Janeiro),shrub,,Schott,Pritzelia,1827,ﾄﾒﾝﾄｰｻ,,,,,,○'66
,,○,,,,,DOOR,,,,tominana             (sp),America    Bolivia (Tomina),tuberous,,J. Golding,Eupetalum,1981,ﾄﾐﾅｰﾅ,,,,,,
,,○,,,,,DOOR,,,,tonduzii               (sp),America    Costa Rica,shrub,,C. DC.,Ruizopavonia,1896,ﾄﾝﾄﾞｩｼﾞｲ,,,,,,
,,○,,,,,DOOR,,,,tonkinensis          (sp),Asia         China,z,,Gagnep.,DiplocliniumⅠ?,1919,ﾄﾝｷﾈﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,torricellensis         (sp),Asia         New Guinea,z,,Warb.,Petermannia,1905,ﾄﾘｹﾚﾝｼｽ,,,,,,
,,○,,,,,DOOR,,,,trapa                   (sp)　,America    Venezuela (Merida),z,,L. B.Smith&Schubert,Casparya,1945,ﾄﾗﾊﾟ,,,,,,
